# pmt_id easting_cm northing_cm
539 -5037.50 -12913.30
540 -4634.50 -12913.30
541 -4231.50 -12913.30
542 -3828.50 -12913.30
543 -3425.50 -12913.30
544 -3022.50 -12913.30
545 -2619.50 -12913.30
546 -2216.50 -12913.30
547 -1813.50 -12913.30
548 -1410.50 -12913.30
549 -1007.50 -12913.30
550 -604.50 -12913.30
551 -201.50 -12913.30
552 201.50 -12913.30
553 604.50 -12913.30
554 1007.50 -12913.30
555 1410.50 -12913.30
556 1813.50 -12913.30
557 2216.50 -12913.30
558 2619.50 -12913.30
559 3022.50 -12913.30
560 3425.50 -12913.30
561 3828.50 -12913.30
562 4231.50 -12913.30
563 4634.50 -12913.30
564 5037.50 -12913.30
565 5440.50 -12913.30
566 5843.50 -12913.30
567 6246.50 -12913.30
568 6649.50 -12913.30
569 7052.50 -12913.30
570 7455.50 -12913.30
571 7858.50 -12913.30
572 8261.50 -12913.30
573 8664.50 -12913.30
574 9067.50 -12913.30
575 -26598.00 -12564.30
576 -24986.00 -12564.30
577 -23374.00 -12564.30
578 -21762.00 -12564.30
579 -20150.00 -12564.30
580 -18538.00 -12564.30
581 -16926.00 -12564.30
582 -15314.00 -12564.30
583 -13702.00 -12564.30
584 -12090.00 -12564.30
585 -9672.00 -12564.30
586 -9269.00 -12564.30
587 -8866.00 -12564.30
588 -8463.00 -12564.30
589 -8060.00 -12564.30
590 -7657.00 -12564.30
591 -7254.00 -12564.30
592 -6851.00 -12564.30
593 -6448.00 -12564.30
594 -6045.00 -12564.30
595 -5642.00 -12564.30
596 -5239.00 -12564.30
597 -4836.00 -12564.30
598 -4433.00 -12564.30
599 -4030.00 -12564.30
600 -3627.00 -12564.30
601 -3224.00 -12564.30
602 -2821.00 -12564.30
603 -2418.00 -12564.30
604 -2015.00 -12564.30
605 -1612.00 -12564.30
606 -1209.00 -12564.30
607 -806.00 -12564.30
608 -403.00 -12564.30
609 0.00 -12564.30
610 403.00 -12564.30
611 806.00 -12564.30
612 1209.00 -12564.30
613 1612.00 -12564.30
614 2015.00 -12564.30
615 2418.00 -12564.30
616 2821.00 -12564.30
617 3224.00 -12564.30
618 3627.00 -12564.30
619 4030.00 -12564.30
620 4433.00 -12564.30
621 4836.00 -12564.30
622 5239.00 -12564.30
623 5642.00 -12564.30
624 6045.00 -12564.30
625 6448.00 -12564.30
626 6851.00 -12564.30
627 7254.00 -12564.30
628 7657.00 -12564.30
629 8060.00 -12564.30
630 8463.00 -12564.30
631 8866.00 -12564.30
632 9269.00 -12564.30
633 9672.00 -12564.30
634 12090.00 -12564.30
635 13702.00 -12564.30
636 15314.00 -12564.30
637 16926.00 -12564.30
638 18538.00 -12564.30
639 20150.00 -12564.30
640 21762.00 -12564.30
641 23374.00 -12564.30
642 24986.00 -12564.30
643 26598.00 -12564.30
644 -10276.50 -12215.29
645 -9873.50 -12215.29
646 -9470.50 -12215.29
647 -9067.50 -12215.29
648 -8664.50 -12215.29
649 -8261.50 -12215.29
650 -7858.50 -12215.29
651 -7455.50 -12215.29
652 -7052.50 -12215.29
653 -6649.50 -12215.29
654 -6246.50 -12215.29
655 -5843.50 -12215.29
656 -5440.50 -12215.29
657 -5037.50 -12215.29
658 -4634.50 -12215.29
659 -4231.50 -12215.29
660 -3828.50 -12215.29
661 -3425.50 -12215.29
662 -3022.50 -12215.29
663 -2619.50 -12215.29
664 -2216.50 -12215.29
665 -1813.50 -12215.29
666 -1410.50 -12215.29
667 -1007.50 -12215.29
668 -604.50 -12215.29
669 -201.50 -12215.29
670 201.50 -12215.29
671 604.50 -12215.29
672 1007.50 -12215.29
673 1410.50 -12215.29
674 1813.50 -12215.29
675 2216.50 -12215.29
676 2619.50 -12215.29
677 3022.50 -12215.29
678 3425.50 -12215.29
679 3828.50 -12215.29
680 4231.50 -12215.29
681 4634.50 -12215.29
682 5037.50 -12215.29
683 5440.50 -12215.29
684 5843.50 -12215.29
685 6246.50 -12215.29
686 6649.50 -12215.29
687 7052.50 -12215.29
688 7455.50 -12215.29
689 7858.50 -12215.29
690 8261.50 -12215.29
691 8664.50 -12215.29
692 9067.50 -12215.29
693 9470.50 -12215.29
694 9873.50 -12215.29
695 10276.50 -12215.29
696 -10478.00 -11866.28
697 -10075.00 -11866.28
698 -9672.00 -11866.28
699 -9269.00 -11866.28
700 -8866.00 -11866.28
701 -8463.00 -11866.28
702 -8060.00 -11866.28
703 -7657.00 -11866.28
704 -7254.00 -11866.28
705 -6851.00 -11866.28
706 -6448.00 -11866.28
707 -6045.00 -11866.28
708 -5642.00 -11866.28
709 -5239.00 -11866.28
710 -4836.00 -11866.28
711 -4433.00 -11866.28
712 -4030.00 -11866.28
713 -3627.00 -11866.28
714 -3224.00 -11866.28
715 -2821.00 -11866.28
716 -2418.00 -11866.28
717 -2015.00 -11866.28
718 -1612.00 -11866.28
719 -1209.00 -11866.28
720 -806.00 -11866.28
721 -403.00 -11866.28
722 0.00 -11866.28
723 403.00 -11866.28
724 806.00 -11866.28
725 1209.00 -11866.28
726 1612.00 -11866.28
727 2015.00 -11866.28
728 2418.00 -11866.28
729 2821.00 -11866.28
730 3224.00 -11866.28
731 3627.00 -11866.28
732 4030.00 -11866.28
733 4433.00 -11866.28
734 4836.00 -11866.28
735 5239.00 -11866.28
736 5642.00 -11866.28
737 6045.00 -11866.28
738 6448.00 -11866.28
739 6851.00 -11866.28
740 7254.00 -11866.28
741 7657.00 -11866.28
742 8060.00 -11866.28
743 8463.00 -11866.28
744 8866.00 -11866.28
745 9269.00 -11866.28
746 9672.00 -11866.28
747 10075.00 -11866.28
748 10478.00 -11866.28
749 -11082.50 -11517.27
750 -10679.50 -11517.27
751 -10276.50 -11517.27
752 -9873.50 -11517.27
753 -9470.50 -11517.27
754 -9067.50 -11517.27
755 -8664.50 -11517.27
756 -8261.50 -11517.27
757 -7858.50 -11517.27
758 -7455.50 -11517.27
759 -7052.50 -11517.27
760 -6649.50 -11517.27
761 -6246.50 -11517.27
762 -5843.50 -11517.27
763 -5440.50 -11517.27
764 -5037.50 -11517.27
765 -4634.50 -11517.27
766 -4231.50 -11517.27
767 -3828.50 -11517.27
768 -3425.50 -11517.27
769 -3022.50 -11517.27
770 -2619.50 -11517.27
771 -2216.50 -11517.27
772 -1813.50 -11517.27
773 -1410.50 -11517.27
774 -1007.50 -11517.27
775 -604.50 -11517.27
776 -201.50 -11517.27
777 201.50 -11517.27
778 604.50 -11517.27
779 1007.50 -11517.27
780 1410.50 -11517.27
781 1813.50 -11517.27
782 2216.50 -11517.27
783 2619.50 -11517.27
784 3022.50 -11517.27
