,True NSB Background,True gain,ADC noise,Baseline mean,Offset,Baseline mean - offset,Signal Variance,Signal mean,Baseline/Var,Var/(Mean - Offset)
440,828317801.5871422,2.0,1.0,235.60306445678083,199.35,36.253064456780834,59.168689621666765,235.98766538147729,1.6321017411425962,1.5996870581428293
441,2801640.1584656355,2.0,1.0,199.61761083743843,199.35,0.26761083743843983,1.301143047847723,199.62721233613067,4.862071582385123,2.0744857409447595
442,19222.343949420458,2.0,1.0,199.5002360128961,199.35,0.15023601289610156,1.083059096684453,199.499982187706,7.209051117680168,2.1661953631862656
443,6551.799536917211,2.0,1.0,199.5007479970801,199.35,0.1507479970801171,1.07817127062412,199.50123915178932,7.1521432556819375,2.151011681300773
428,9771.996562044083,2.0,1.0,199.50345383553457,199.35,0.15345383553457737,1.0859898264199257,199.49808892918225,7.076980660905164,2.1803131183880913
427,2036.329627853186,2.0,1.0,199.64375,199.35,0.29375000000001705,0.7894736842105264,199.5,2.687569988801636,1.5789473684210529
426,870762.7315397452,2.0,1.0,199.5393289130722,199.35,0.18932891307221666,1.147537282434954,199.5407693016068,6.061077855537274,2.1220459057592187
417,30842429.519642062,2.0,1.0,200.68150919170583,199.35,1.331509191705834,3.2861291993356687,200.8706081405395,2.467973349193118,1.7567170419711289
411,6967.416718726147,2.0,1.0,199.50080218402056,199.35,0.1508021840205629,1.0767025994850423,199.50128471797385,7.139834256897942,2.1478863425898784
412,38250553.99396612,2.0,1.0,200.94992550744925,199.35,1.5999255074492567,3.795814922491368,201.1759704029597,2.3724947847996956,1.744423967039435
413,21990599.128530223,2.0,1.0,200.33617995032375,199.35,0.9861799503237592,2.6636222327902064,200.4714881668993,2.7009494888998193,1.8101553873878378
414,319281402.6537006,2.0,1.0,213.17236538453847,199.35,13.822365384538472,23.946599885903986,213.5769936846821,1.732453109124894,1.642766705117512
415,13037429.909896588,2.0,1.0,200.00065894464865,199.35,0.6506589446486544,2.0090598135536952,200.0655064974542,3.087731030330423,1.8855444038622928
416,4099093390.2233353,2.0,1.0,379.4520752509698,199.35,180.10207525096982,296.97807980660684,379.9135023797144,1.6489431306817086,1.6415473466612112
418,95125.5458674088,2.0,1.0,199.501165892758,199.35,0.15116589275800152,1.091835459805372,199.5013600405598,7.222763282675609,2.177747270377319
425,4780416935.472758,2.0,1.0,409.5250444946606,199.35,210.17504449466063,342.8530029890049,409.9524417069952,1.6312736072608034,1.6252620743077932
419,732444335.0304389,2.0,1.0,231.3656220878378,199.35,32.01562208783781,53.49003473505788,231.7421499106104,1.6707479426232306,1.6336750910093392
420,7129982777.30537,2.0,1.0,512.8464304283486,199.35,313.4964304283486,509.5021778518206,513.2927688677358,1.6252248140613843,1.6211069051551579
421,44608302.0553012,2.0,1.0,201.22758624137583,199.35,1.8775862413758375,4.260394309399572,201.47724827517249,2.269080490426733,1.7198091737910004
422,908372071.23434,2.0,1.0,239.012336069016,199.35,39.66233606901599,65.8609254187474,239.43483355930712,1.6605407534277237,1.6288165332039015
423,109.66468057233656,2.0,1.0,199.50519891591327,199.35,0.1551989159132745,1.0837734793436546,199.501248099848,6.983125319955647,2.1621498010113243
424,10512423.249521814,2.0,1.0,199.9079723267168,199.35,0.5579723267167935,1.8239202010366575,199.9569713462462,3.2688363090852945,1.9059297942316926
372,102333232.89164402,2.0,1.0,203.64550902335031,199.35,4.29550902335032,8.398626680873,203.99488036861345,1.9552110437245498,1.681447013956094
371,778907363.7971138,2.0,1.0,233.33199698834932,199.35,33.98199698834932,56.84084496432788,233.7648352791076,1.6726752398870401,1.6350097593727757
370,75242075.70679858,2.0,1.0,202.49580936877555,199.35,3.1458093687755593,6.405548108391542,202.8120885362088,2.036216234833317,1.6803251151039653
333,1693.2244234443515,2.0,1.0,199.4987071813377,199.35,0.14870718133769856,1.0749924966754345,199.4966837771905,7.228921206126813,2.1643398597718497
317,4259.732268837781,2.0,1.0,199.50534811674547,199.35,0.155348116745472,1.07897127625431,199.50107847476184,6.945505995557936,2.1532979974187456
318,103.12301278878752,2.0,1.0,199.50552994239536,199.35,0.15552994239536133,1.0763337442050869,199.50294423553885,6.920427845777872,2.1400657730014863
319,17528.290648456405,2.0,1.0,199.51055242059564,199.35,0.1605524205956499,1.0846938933148678,199.50481125092523,6.756010836153393,2.1487118033261283
320,8910.796540002068,2.0,1.0,199.4975099034936,199.35,0.1475099034936136,1.0857329860985072,199.5001517130937,7.360407405767937,2.1708072924167565
321,5344164.27691569,2.0,1.0,199.717032791149,199.35,0.36703279114900056,1.4619781355557568,199.73162475241585,3.983235751168218,1.9982622659064593
322,26959.8743079786,2.0,1.0,199.50125811550976,199.35,0.1512581155097621,1.0892226213783578,199.50027313554776,7.201085493545371,2.1772558708069516
323,291143329.8190273,2.0,1.0,211.8998367182876,199.35,12.549836718287594,22.0113984587932,212.2973187003056,1.7539191108931511,1.6553260815120072
324,620852.3278997751,2.0,1.0,199.5250867614271,199.35,0.1750867614271101,1.1267613114023207,199.52498769128545,6.435445502665258,2.1462623412054027
325,3542.001558232087,2.0,1.0,199.4909940304024,199.35,0.14099403040239622,1.084377440851552,199.4979521142862,7.690945763850743,2.177674137212956
326,5574985466.654534,2.0,1.0,444.4129099508059,199.35,245.0629099508059,399.18152650907297,444.8092748870136,1.6288940933134473,1.6239481878483106
327,984741.4158279238,2.0,1.0,199.54461863370963,199.35,0.19461863370963783,1.1491245282351656,199.5429495425528,5.9044938623380085,2.1164481009271823
328,5511063.210737581,2.0,1.0,199.72285669399125,199.35,0.37285669399125254,1.4804268122393145,199.7409820842473,3.9704981460626434,1.9979252450390454
329,192963.7777682679,2.0,1.0,199.50451701596387,199.35,0.1545170159638758,1.1021478582673854,199.506747467946,7.132857513408453,2.174944973548054
