,True NSB Background,True gain,ADC noise,N samples,lamda poisson,amp std,pulse shape total sum,ps_sigma,ps_lamda,eta,Baseline mean,Offset,Baseline mean - offset,Signal Variance,Signal mean,Baseline/Var,Var/(Mean - Offset)
45,10000.0,5.75,0.8,12400,1.0000000000000002e-06,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.51923387096772,199.48874480347692,0.030489067490805155,0.7248900860891488,199.49733870967745,23.77541019605667,1.45753803591777
7,23713737056.616554,5.75,0.8,24950,2.3713737056616555,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,3130.4851803607216,199.48874480347692,2930.9964355572447,13246.270773313832,3131.1875350701403,4.519374576037461,4.5175387368246795
40,15199110.829529332,5.75,0.8,12433,0.0015199110829529,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,200.6093259872919,199.48874480347692,1.120581183814977,8.955603139649627,201.3547816295343,7.991927108003552,3.8031565336360944
53,100000000000.0,5.75,0.8,24950,10.0,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,12569.00370741483,199.48874480347692,12369.514962611353,54763.60217509691,12569.864168336671,4.427303927488492,4.426821071664888
38,65793322.465756826,5.75,0.8,12437,0.0065793322465756,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,206.3362145211868,199.48874480347692,6.847469717709885,37.4068611171808,207.61879874567825,5.4628735371306485,4.340147881505859
61,74989420.93324558,5.75,0.8,24935,0.0074989420933245,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,207.57637858431923,199.48874480347692,8.08763378084231,43.57035828246084,208.84700220573487,5.387281306637388,4.42473327131841
5,5336699231.206302,5.75,0.8,12450,0.5336699231206302,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,858.6942269076305,199.48874480347692,659.2054821041536,2990.5261993011814,860.8142971887551,4.536561482704238,4.5186787472018874
35,1333521432.163324,5.75,0.8,24950,0.1333521432163324,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,364.3537374749499,199.48874480347692,164.864992671473,753.3027660130072,365.228376753507,4.569209956622604,4.531733875558731
1,1232846739.442063,5.75,0.8,12449,0.1232846739442063,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,351.02527311430634,199.48874480347692,151.53652831082942,721.4453979434036,351.91051490079525,4.760867930559856,4.718088866625427
18,23101297000.83158,5.75,0.8,12450,2.310129700083158,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,3056.8211947791165,199.48874480347692,2857.3324499756395,13711.609507861958,3055.689638554217,4.798744895078225,4.799824707174513
3,5623413251.903491,5.75,0.8,24949,0.5623413251903492,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,893.28958575494,199.48874480347692,693.8008409514631,3082.9417339703928,894.2654214597779,4.443554334328155,4.434193962210078
19,17782794.100389227,5.75,0.8,24938,0.0017782794100389,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,200.85188768145,199.48874480347692,1.3631428779730754,11.066353816799182,201.7259202823001,8.118264046725821,4.059676245360149
21,187381.7422860383,5.75,0.8,10584,1.8738174228603837e-05,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.48874480347692,199.48874480347692,0.0,0.7882360767125419,199.5140778533636,inf,1.5333009806882891
27,1000000.0,5.75,0.8,23984,0.0001,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.56492349066045,199.48874480347692,0.07617868718352838,1.2869973399826211,199.62783522348232,16.894454178266542,2.0498966796482385
52,3511191.734215128,5.75,0.8,12313,0.0003511191734215,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.7080321611305,199.48874480347692,0.21928735765357033,3.042628574679281,199.93811418825632,13.875075185529022,3.243345653192426
63,316227766.01683795,1.0,0.8,24943,0.0316227766016838,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,206.13324379585453,199.49152922194332,6.641714573911202,6.0711139833589245,206.28509000521188,0.9140883601361599,0.8333615616300609
60,187381.7422860383,1.0,0.8,10499,1.8738174228603837e-05,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.53007429278975,199.49152922194332,0.03854507084642478,0.7270797057285355,199.51919230402896,18.86310466584537,1.4004053990907703
59,100000000000.0,1.0,0.8,24950,10.0,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,2352.714118236473,199.49152922194332,2153.2225890145296,1672.924553446145,2352.4812024048097,0.776939904857582,0.7768466014832063
8,4216965.034285823,1.0,0.8,24651,0.0004216965034285,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.62462476167292,199.49152922194332,0.1330955397295952,0.7862195453397584,199.5941341122064,5.907181765347574,1.3233031552758623
55,43287.612810830615,1.0,0.8,5878,4.328761281083061e-06,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.5280282408983,199.49152922194332,0.0364990189549701,0.7053525479196616,199.50493365090168,19.325246763204117,1.3969212522478747
2,74989420.93324558,1.0,0.8,24925,0.0074989420933245,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,201.026629889669,199.49152922194332,1.5351006677256862,2.0076806345855087,201.11943831494483,1.3078494959942717,0.9472701424847884
13,15199110.829529332,1.0,0.8,12441,0.0015199110829529,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.87873764166864,199.49152922194332,0.3872084197253116,0.983673214097873,199.8576480990274,2.540423100292338,1.1469426857162104
12,811130.8307896872,1.0,0.8,12055,8.111308307896873e-05,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.5251036914144,199.49152922194332,0.033574469471062685,0.7512153143014596,199.5195354624637,22.374599692451447,1.4459365502002794
47,23101297000.83158,1.0,0.8,12450,2.310129700083158,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,696.2638052208836,199.49152922194332,496.77227599894024,371.4954615731785,696.4382329317269,0.7478184261111444,0.7468172669071177
23,5623413251.903491,1.0,0.8,24949,0.5623413251903492,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,319.96212273037,199.49152922194332,120.4705935084267,98.1572014670068,320.24008978315766,0.8147814218259071,0.8096101020921755
44,1000000.0,1.0,0.8,24490,0.0001,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.51563393221724,199.49152922194332,0.024104710273917362,0.7386503679513043,199.51772151898732,30.643403698179487,1.4267329845514922
43,284803586.8435793,1.0,0.8,12445,0.0284803586843579,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,205.4002711932503,199.49152922194332,5.908741971306966,5.697129123204783,205.59236641221372,0.9641864801120471,0.8642009207269902
42,17782794.100389227,1.0,0.8,24930,0.0017782794100389,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.8909346169274,199.49152922194332,0.3994053949840861,1.0213785329235954,199.87685519454476,2.5572477131018503,1.1648200743725632
41,1232846739.442063,1.0,0.8,12449,0.1232846739442063,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,226.1687986986907,199.49152922194332,26.67726947674737,22.66014585008119,226.33552895814924,0.8494177363178936,0.8289631374894529
14,5336699231.206302,1.0,0.8,12449,0.5336699231206302,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,314.6737288135593,199.49152922194332,115.18219959161598,93.91161674851904,314.7826331432244,0.8153309893498056,0.8111027897625139
17,10000.0,1.0,0.8,2789,1.0000000000000002e-06,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.49152922194332,199.49152922194332,0.0,0.7522023649992053,199.50627465041237,inf,1.4857594872398407
34,65793322.465756826,1.0,0.8,12446,0.0065793322465756,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,200.80988871926724,199.49152922194332,1.318359497323911,1.800457884852438,200.891210027318,1.3656805207586553,0.9520137154759745
31,23713737056.616554,1.0,0.8,24950,2.3713737056616555,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,709.7403306613227,199.49152922194332,510.24880143937935,386.9670931521948,709.7722645290581,0.7583890291571197,0.7576117969306456
30,1333521432.163324,1.0,0.8,24949,0.1333521432163324,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,228.0261533528398,199.49152922194332,28.534624130896475,22.74576422257024,228.20117038759068,0.7971285732809699,0.7789333071470407
33,3511191.734215128,1.0,0.8,12239,0.0003511191734215,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.59750592368655,199.49152922194332,0.1059767017432307,0.8021861428216186,199.57807010376663,7.56945752817655,1.387696989681132
